Kalkulationsstruktur,Preiseinheit,ME,     Preis,Kalkulationslosgrî·e, Menge,BWME,Wert Gesamt,WÑhrung,Ressource,Fehlerstatus,Preisstrategie (Text),Kostenart (Text),Kennzeichen Baugruppe
Automatenstahl  D=80h9 11SMn30+C,"       1,000",MM,79.34,0,90,MM,7.14,CHF,CH10 1250108,,Preis aus Einkaufsinfosatz,Rohmaterial,
Okuma,1,H,90.78,0,0.038,H,3.4,CHF,21033104   21033104 MFERT,,Plantarif der Periode,ILV Maschinenstunden Fertigung,
Okuma,1,H,90.78,0,0.16,H,14.52,CHF,21033104   21033104 MFERT,,Plantarif der Periode,ILV Maschinenstunden Fertigung,
Zuschlag MGK,,,0,,,,0.56,CHF,900995 10501,,,Zuschlag Materialgemeinkosten MGK,
Zuschlag PGK,,,0,,,,5.8,CHF,900996 10502,,,Zuschlag Produktionsgemeinkosten,
,,,,,,,,,,,,,
Spickel,1,ST,8.17,10,2,ST,16.34,CHF,CH10 10170958,,,Eigenfertigung,X
,,,,,,,,,,,,,
Laserzentrum BYSTAR 4020,1,H,104.33,0,0,H,0,CHF,21032101   21032102 MFERT,,Plantarif der Periode,ILV Maschinenstunden Fertigung,
Laserzentrum BYSTAR 4020,1,H,104.33,0,0.016,H,1.67,CHF,21032101   21032102 MFERT,,Plantarif der Periode,ILV Maschinenstunden Fertigung,
Blechtafel  6x1500x4000  DD11,1,M2,91.71,0,0.144,M2,13.21,CHF,CH10 1300181,,Preis aus Einkaufsinfosatz,Rohmaterial,
Zuschlag MGK,,,0,,,,1.03,CHF,900995 10501,,,Zuschlag Materialgemeinkosten MGK,
Zuschlag PGK,,,0,,,,0.43,CHF,900996 10502,,,Zuschlag Produktionsgemeinkosten,
,,,,,,,,,,,,,
Spickel,1,ST,6.29,10,2,ST,12.58,CHF,CH10 10170959,,,Eigenfertigung,X
,,,,,,,,,,,,,
Laserzentrum BYSTAR 4020,1,H,104.33,0,0,H,0,CHF,21032101   21032102 MFERT,,Plantarif der Periode,ILV Maschinenstunden Fertigung,
Laserzentrum BYSTAR 4020,1,H,104.33,0,0.016,H,1.67,CHF,21032101   21032102 MFERT,,Plantarif der Periode,ILV Maschinenstunden Fertigung,
Blechtafel  6x1500x4000  DD11,1,M2,91.69,0,0.106,M2,9.72,CHF,CH10 1300181,,Preis aus Einkaufsinfosatz,Rohmaterial,
Zuschlag MGK,,,0,,,,0.76,CHF,900995 10501,,,Zuschlag Materialgemeinkosten MGK,
Zuschlag PGK,,,0,,,,0.43,CHF,900996 10502,,,Zuschlag Produktionsgemeinkosten,
,,,,,,,,,,,,,
U-Profil,1,ST,266.06,5,1,ST,266.06,CHF,CH10 10170961,,,Eigenfertigung,X
,,,,,,,,,,,,,
Laserzentrum BYSPRINTF 3015,1,H,104.33,0,0,H,0,CHF,21032101   21032101 MFERT,,Plantarif der Periode,ILV Maschinenstunden Fertigung,
Laserzentrum BYSPRINTF 3015,1,H,104.33,0,0.13,H,13.56,CHF,21032101   21032101 MFERT,,Plantarif der Periode,ILV Maschinenstunden Fertigung,
Blechtafel  6x1500x3000 DD11,1,M2,78.57,0,2.823,M2,221.8,CHF,CH10 1300179,,Bewertungspreis mit USER-EXIT,Rohmaterial,
Abkanten Xpert 1,1,H,71.16,0,0.05,H,3.56,CHF,21032201   21032201 MFERT,,Plantarif der Periode,ILV Maschinenstunden Fertigung,
Abkanten Xpert 1,1,H,71.16,0,0.06,H,4.27,CHF,21032201   21032201 MFERT,,Plantarif der Periode,ILV Maschinenstunden Fertigung,
Zuschlag MGK,,,0,,,,17.3,CHF,900995 10501,,,Zuschlag Materialgemeinkosten MGK,
Zuschlag PGK,,,0,,,,5.56,CHF,900996 10502,,,Zuschlag Produktionsgemeinkosten,
,,,,,,,,,,,,,
U-Profil,1,ST,86.45,5,1,ST,86.45,CHF,CH10 10170960,,,Eigenfertigung,X
,,,,,,,,,,,,,
Laserzentrum BYSPRINTF 3015,1,H,104.33,0,0,H,0,CHF,21032101   21032101 MFERT,,Plantarif der Periode,ILV Maschinenstunden Fertigung,
Laserzentrum BYSPRINTF 3015,1,H,104.33,0,0.067,H,6.99,CHF,21032101   21032101 MFERT,,Plantarif der Periode,ILV Maschinenstunden Fertigung,
Blechtafel  6x1500x3000 DD11,1,M2,78.57,0,0.832,M2,65.37,CHF,CH10 1300179,,Bewertungspreis mit USER-EXIT,Rohmaterial,
Abkanten Xpert 1,1,H,71.16,0,0.05,H,3.56,CHF,21032201   21032201 MFERT,,Plantarif der Periode,ILV Maschinenstunden Fertigung,
Abkanten Xpert 1,1,H,71.16,0,0.03,H,2.13,CHF,21032201   21032201 MFERT,,Plantarif der Periode,ILV Maschinenstunden Fertigung,
Zuschlag MGK,,,0,,,,5.1,CHF,900995 10501,,,Zuschlag Materialgemeinkosten MGK,
Zuschlag PGK,,,0,,,,3.3,CHF,900996 10502,,,Zuschlag Produktionsgemeinkosten,
,,,,,,,,,,,,,
Grosskomponenten Schlosserei,1,H,74.94,0,0,H,0,CHF,21031101   21031101 MFERT,,Plantarif der Periode,ILV Maschinenstunden Fertigung,
Grosskomponenten Schlosserei,1,H,74.94,0,8,H,599.52,CHF,21031101   21031101 MFERT,,Plantarif der Periode,ILV Maschinenstunden Fertigung,
Schlosserei Schweissroboter,1,H,98.91,0,0,H,0,CHF,21031301   21031301 MFERT,,Plantarif der Periode,ILV Maschinenstunden Fertigung,
Schlosserei Schweissroboter,1,H,98.91,0,6,H,593.46,CHF,21031301   21031301 MFERT,,Plantarif der Periode,ILV Maschinenstunden Fertigung,
Grossteil verputzen,1,H,74.94,0,0,H,0,CHF,21031101   21031101 MFERT,,Plantarif der Periode,ILV Maschinenstunden Fertigung,
Grossteil verputzen,1,H,74.94,0,2,H,149.88,CHF,21031101   21031101 MFERT,,Plantarif der Periode,ILV Maschinenstunden Fertigung,
Fabrikation Mecof,1,H,120.88,0,0,H,0,CHF,21033601   21033602 MFERT,,Plantarif der Periode,ILV Maschinenstunden Fertigung,
Fabrikation Mecof,1,H,120.88,0,16,H,1934.08,CHF,21033601   21033602 MFERT,,Plantarif der Periode,ILV Maschinenstunden Fertigung,
Fabrikation Handarbeit UNISIGN,1,H,62.41,0,0,H,0,CHF,21033404   21033405 MFERT,,Plantarif der Periode,ILV Maschinenstunden Fertigung,
Fabrikation Handarbeit UNISIGN,1,H,62.41,0,1,H,62.41,CHF,21033404   21033405 MFERT,,Plantarif der Periode,ILV Maschinenstunden Fertigung,
Malerei Grossteile,1,H,139.86,0,3,H,419.58,CHF,21040102   21040102 PMONT,,Plantarif der Periode,ILV Personalstunden Montage,
Malerei Grossteile Zusatzarbeiten,1,H,63.01,0,3,H,189.03,CHF,21040105   21040105 PMONT,,Plantarif der Periode,ILV Personalstunden Montage,
Zuschlag MGK,,,0,,,,512.11,CHF,900995 10501,,,Zuschlag Materialgemeinkosten MGK,
Zuschlag PGK,,,0,,,,1180.77,CHF,900996 10502,,,Zuschlag Produktionsgemeinkosten,
,,,,,,,,,,,,,
Ringschraube  M30 VRS-F Art.7101317,1,ST,47.45,0,4,ST,189.8,CHF,CH10 2351205,,Bewertungspreis laut Preissteuerung im Materialstamm,Zukaufteile,
Kabelsatz  +B16 machine frame,1,ST,366.62,0,1,ST,366.62,CHF,CH10 10172716,,Preis aus Einkaufsinfosatz,Zukaufteile,
Schlauchsatz  +B16 MR,1,ST,165.04,0,1,ST,165.04,CHF,CH10 10173105,,Preis aus Einkaufsinfosatz,Zukaufteile,
Schlauchsatz  +B16 Tischklemmen MR,1,ST,28.02,0,1,ST,28.02,CHF,CH10 10173108,,Preis aus Einkaufsinfosatz,Zukaufteile,
Steuerung  kpl.,1,ST,14391.01,0,1,ST,14391.01,CHF,CH10 10172670,,Preis aus Einkaufsinfosatz,Zukaufteile,
Handterminal  One Platform 15m,1,ST,589.35,5,1,ST,589.35,CHF,CH10 10172731,,,Eigenfertigung,X
,,,,,,,,,,,,,
Herstellung gem.Zeichnung & STL,1,H,74.51,0,0.1,H,7.45,CHF,210412     21041101 PMONT,,Plantarif der Periode,ILV Personalstunden Montage,
Terminal  +A2 One Platform 15m,1,ST,537.26,0,1,ST,537.26,CHF,CH10 10172693,,Preis aus Einkaufsinfosatz,Zukaufteile,
KabeldurchfÅhrungstÅlle  KT9,1,ST,0.73,0,1,ST,0.73,CHF,CH10 10066255,,Preis aus Einkaufsinfosatz,Zukaufteile,
Zuschlag MGK,,,0,,,,41.96,CHF,900995 10501,,,Zuschlag Materialgemeinkosten MGK,
Zuschlag PGK,,,0,,,,1.94,CHF,900996 10502,,,Zuschlag Produktionsgemeinkosten,
,,,,,,,,,,,,,
Distanzhalter  80xSW10-M6 i11+a10 St.vz,1,ST,0.58,0,4,ST,2.29,CHF,CH10 3162497,,Preis aus Einkaufsinfosatz,Zukaufteile,
Abdeckung  (K),1,ST,37.12,5,1,ST,37.12,CHF,CH10 10182636,,,Eigenfertigung,X
,,,,,,,,,,,,,
Laserzentrum BYSPRINTF 3015,1,H,104.33,0,0,H,0,CHF,21032101   21032101 MFERT,,Plantarif der Periode,ILV Maschinenstunden Fertigung,
Laserzentrum BYSPRINTF 3015,1,H,104.33,0,0.011,H,1.15,CHF,21032101   21032101 MFERT,,Plantarif der Periode,ILV Maschinenstunden Fertigung,
"Blechtafel  1,50x1500x3000  DC01",1,M2,20.14,0,0.992,M2,19.98,CHF,CH10 1300063,,Bewertungspreis mit USER-EXIT,Rohmaterial,
Abkanten Xpert 1,1,H,71.16,0,0.04,H,2.85,CHF,21032201   21032201 MFERT,,Plantarif der Periode,ILV Maschinenstunden Fertigung,
Abkanten Xpert 1,1,H,71.16,0,0.045,H,3.2,CHF,21032201   21032201 MFERT,,Plantarif der Periode,ILV Maschinenstunden Fertigung,
Malerei Kleinkomponenten,1,H,86.25,0,0,H,0,CHF,21040101   21040101 MMONT,,Plantarif der Periode,ILV Maschinenstunden Montage,
Malerei Kleinkomponenten,1,H,86.25,0,0.06,H,5.18,CHF,21040101   21040101 MMONT,,Plantarif der Periode,ILV Maschinenstunden Montage,
Malerei Kleinkomponenten,1,H,86.25,0,0,H,0,CHF,21040101   21040101 MMONT,,Plantarif der Periode,ILV Maschinenstunden Montage,
Zuschlag MGK,,,0,,,,1.56,CHF,900995 10501,,,Zuschlag Materialgemeinkosten MGK,
Zuschlag PGK,,,0,,,,3.22,CHF,900996 10502,,,Zuschlag Produktionsgemeinkosten,
,,,,,,,,,,,,,
Ventilinsel,1,ST,1625.36,5,1,ST,1625.36,CHF,CH10 10171854,,,Montagebaugruppen eig.,X
,,,,,,,,,,,,,
VOMO Kleinteile H3 UG,1,H,70.32,0,0,H,0,CHF,210502     21050303 PMONT,,Plantarif der Periode,ILV Personalstunden Montage,
VOMO Kleinteile H3 UG,1,H,70.32,0,0.25,H,17.58,CHF,210502     21050303 PMONT,,Plantarif der Periode,ILV Personalstunden Montage,
Halter  (K),1,ST,23.67,5,1,ST,23.67,CHF,CH10 10171853,,,Eigenfertigung,X
,,,,,,,,,,,,,
Laserzentrum BYSPRINTF 3015,1,H,104.33,0,0,H,0,CHF,21032101   21032101 MFERT,,Plantarif der Periode,ILV Maschinenstunden Fertigung,
Laserzentrum BYSPRINTF 3015,1,H,104.33,0,0.014,H,1.46,CHF,21032101   21032101 MFERT,,Plantarif der Periode,ILV Maschinenstunden Fertigung,
Blechtafel  3x1500x3000 DD11,1,M2,39.28,0,0.146,M2,5.73,CHF,CH10 1301096,,Bewertungspreis mit USER-EXIT,Rohmaterial,
Abkanten Xpert 2,1,H,71.16,0,0.03,H,2.13,CHF,21032201   21032203 MFERT,,Plantarif der Periode,ILV Maschinenstunden Fertigung,
Abkanten Xpert 2,1,H,71.16,0,0.03,H,2.13,CHF,21032201   21032203 MFERT,,Plantarif der Periode,ILV Maschinenstunden Fertigung,
Malerei Kleinkomponenten,1,H,86.25,0,0,H,0,CHF,21040101   21040101 MMONT,,Plantarif der Periode,ILV Maschinenstunden Montage,
Malerei Kleinkomponenten,1,H,86.25,0,0.05,H,4.31,CHF,21040101   21040101 MMONT,,Plantarif der Periode,ILV Maschinenstunden Montage,
Malerei Kleinkomponenten,1,H,86.25,0,0,H,0,CHF,21040101   21040101 MMONT,,Plantarif der Periode,ILV Maschinenstunden Montage,
Malerei Zusatzarbeiten,1,H,76.7,0,0,H,0,CHF,21040104   21040104 PMONT,,Plantarif der Periode,ILV Personalstunden Montage,
Malerei Zusatzarbeiten,1,H,76.7,0,0.05,H,3.84,CHF,21040104   21040104 PMONT,,Plantarif der Periode,ILV Personalstunden Montage,
Zuschlag MGK,,,0,,,,0.45,CHF,900995 10501,,,Zuschlag Materialgemeinkosten MGK,
Zuschlag PGK,,,0,,,,3.61,CHF,900996 10502,,,Zuschlag Produktionsgemeinkosten,
,,,,,,,,,,,,,
Ventilinsel  MPA-S,1,ST,1108.07,0,1,ST,1108.07,CHF,CH10 10176305,,Bewertungspreis mit USER-EXIT,Zukaufteile,
Kabelsatz  +A5 Valve terminal,1,ST,206.54,0,1,ST,206.54,CHF,CH10 10172728,,Bewertungspreis laut Preissteuerung im Materialstamm,Zukaufteile,
Schlauchsatz  +A5 +B16 Ventilinsel VG,1,ST,150.64,0,1,ST,150.64,CHF,CH10 10173118,,Preis aus Einkaufsinfosatz,Zukaufteile,
Zuschlag MGK,,,0,,,,114.29,CHF,900995 10501,,,Zuschlag Materialgemeinkosten MGK,
Zuschlag PGK,,,0,,,,4.57,CHF,900996 10502,,,Zuschlag Produktionsgemeinkosten,
,,,,,,,,,,,,,
Halter  (K),1,ST,23.53,5,1,ST,23.53,CHF,CH10 10183126,,,Eigenfertigung,X
,,,,,,,,,,,,,
Laserzentrum BYSPRINTF 3015,1,H,104.33,0,0,H,0,CHF,21032101   21032101 MFERT,,Plantarif der Periode,ILV Maschinenstunden Fertigung,
Laserzentrum BYSPRINTF 3015,1,H,104.33,0,0.011,H,1.15,CHF,21032101   21032101 MFERT,,Plantarif der Periode,ILV Maschinenstunden Fertigung,
Blechtafel  3x1500x3000 DD11,1,M2,39.28,0,0.152,M2,5.97,CHF,CH10 1301096,,Bewertungspreis mit USER-EXIT,Rohmaterial,
Abkanten Xpert 2,1,H,71.16,0,0.03,H,2.13,CHF,21032201   21032203 MFERT,,Plantarif der Periode,ILV Maschinenstunden Fertigung,
Abkanten Xpert 2,1,H,71.16,0,0.03,H,2.13,CHF,21032201   21032203 MFERT,,Plantarif der Periode,ILV Maschinenstunden Fertigung,
Malerei Kleinkomponenten,1,H,86.25,0,0,H,0,CHF,21040101   21040101 MMONT,,Plantarif der Periode,ILV Maschinenstunden Montage,
Malerei Kleinkomponenten,1,H,86.25,0,0.05,H,4.31,CHF,21040101   21040101 MMONT,,Plantarif der Periode,ILV Maschinenstunden Montage,
Malerei Kleinkomponenten,1,H,86.25,0,0,H,0,CHF,21040101   21040101 MMONT,,Plantarif der Periode,ILV Maschinenstunden Montage,
Malerei Zusatzarbeiten,1,H,76.7,0,0,H,0,CHF,21040104   21040104 PMONT,,Plantarif der Periode,ILV Personalstunden Montage,
Malerei Zusatzarbeiten,1,H,76.7,0,0.05,H,3.84,CHF,21040104   21040104 PMONT,,Plantarif der Periode,ILV Personalstunden Montage,
Zuschlag MGK,,,0,,,,0.47,CHF,900995 10501,,,Zuschlag Materialgemeinkosten MGK,
Zuschlag PGK,,,0,,,,3.53,CHF,900996 10502,,,Zuschlag Produktionsgemeinkosten,
,,,,,,,,,,,,,
PC  ByMotion TC3 WIN10 kpl.,1,ST,1056.26,1,1,ST,1056.26,CHF,CH10 10177734,,,Montagebaugruppen eig.,X
,,,,,,,,,,,,,
Software auf PC und USB laden Material b,1,H,74.51,0,0,H,0,CHF,210412     21041203 PMONT,,Plantarif der Periode,ILV Personalstunden Montage,
Software auf PC und USB laden Material b,1,H,74.51,0,0.46,H,34.27,CHF,210412     21041203 PMONT,,Plantarif der Periode,ILV Personalstunden Montage,
PC  ByMotion C6025,1,ST,863.99,0,1,ST,863.99,CHF,CH10 10174451,,Preis aus Einkaufsinfosatz,Zukaufteile,
Softwarelizenz  WIN 10 IoT LTSC i5 2019,1,ST,75.79,0,1,ST,75.79,CHF,CH10 10122403,,Preis aus Einkaufsinfosatz,Zukaufteile,
Zuschlag MGK,,,0,,,,73.3,CHF,900995 10501,,,Zuschlag Materialgemeinkosten MGK,
Zuschlag PGK,,,0,,,,8.91,CHF,900996 10502,,,Zuschlag Produktionsgemeinkosten,
,,,,,,,,,,,,,
Kabelsatz  HMI,1,ST,362.68,0,1,ST,362.68,CHF,CH10 10172727,,Bewertungspreis laut Preissteuerung im Materialstamm,Zukaufteile,
Kabelsatz  Brake resistor,1,ST,362.68,0,1,ST,362.68,CHF,CH10 10172726,,Bewertungspreis laut Preissteuerung im Materialstamm,Zukaufteile,
Halter  (K),1,ST,13.18,60,12,ST,158.18,CHF,CH10 10172280,,,Eigenfertigung,X
,,,,,,,,,,,,,
Laserzentrum BYSPRINTF 3015,1,H,104.33,0,0,H,0,CHF,21032101   21032101 MFERT,,Plantarif der Periode,ILV Maschinenstunden Fertigung,
Laserzentrum BYSPRINTF 3015,1,H,104.33,0,0.168,H,17.53,CHF,21032101   21032101 MFERT,,Plantarif der Periode,ILV Maschinenstunden Fertigung,
Blechtafel  3x1500x3000 DD11,1,M2,39.28,0,1.764,M2,69.29,CHF,CH10 1301096,,Bewertungspreis mit USER-EXIT,Rohmaterial,
Abkanten Xpert,1,H,71.16,0,0.05,H,3.56,CHF,21032201   21032201 MFERT,,Plantarif der Periode,ILV Maschinenstunden Fertigung,
Abkanten Xpert,1,H,71.16,0,0.36,H,25.62,CHF,21032201   21032201 MFERT,,Plantarif der Periode,ILV Maschinenstunden Fertigung,
Malerei Kleinkomponenten,1,H,86.25,0,0,H,0,CHF,21040101   21040101 MMONT,,Plantarif der Periode,ILV Maschinenstunden Montage,
Malerei Kleinkomponenten,1,H,86.25,0,0.12,H,10.35,CHF,21040101   21040101 MMONT,,Plantarif der Periode,ILV Maschinenstunden Montage,
Malerei Kleinkomponenten,1,H,86.25,0,0,H,0,CHF,21040101   21040101 MMONT,,Plantarif der Periode,ILV Maschinenstunden Montage,
Malerei Zusatzarbeiten,1,H,76.7,0,0,H,0,CHF,21040104   21040104 PMONT,,Plantarif der Periode,ILV Personalstunden Montage,
Malerei Zusatzarbeiten,1,H,76.7,0,0.12,H,9.2,CHF,21040104   21040104 PMONT,,Plantarif der Periode,ILV Personalstunden Montage,
Zuschlag MGK,,,0,,,,5.4,CHF,900995 10501,,,Zuschlag Materialgemeinkosten MGK,
Zuschlag PGK,,,0,,,,17.23,CHF,900996 10502,,,Zuschlag Produktionsgemeinkosten,
,,,,,,,,,,,,,
Querstrebe  (K),1,ST,5.61,60,12,ST,67.26,CHF,CH10 10172281,,,Eigenfertigung,X
,,,,,,,,,,,,,
Laserzentrum BYSPRINTF 3015,1,H,104.33,0,0,H,0,CHF,21032101   21032101 MFERT,,Plantarif der Periode,ILV Maschinenstunden Fertigung,
Laserzentrum BYSPRINTF 3015,1,H,104.33,0,0.12,H,12.52,CHF,21032101   21032101 MFERT,,Plantarif der Periode,ILV Maschinenstunden Fertigung,
Blechtafel  3x1500x3000 DD11,1,M2,39.28,0,0.6,M2,23.57,CHF,CH10 1301096,,Bewertungspreis mit USER-EXIT,Rohmaterial,
Malerei Kleinkomponenten,1,H,86.25,0,0,H,0,CHF,21040101   21040101 MMONT,,Plantarif der Periode,ILV Maschinenstunden Montage,
Malerei Kleinkomponenten,1,H,86.25,0,0.24,H,20.7,CHF,21040101   21040101 MMONT,,Plantarif der Periode,ILV Maschinenstunden Montage,
Malerei Kleinkomponenten,1,H,86.25,0,0,H,0,CHF,21040101   21040101 MMONT,,Plantarif der Periode,ILV Maschinenstunden Montage,
Zuschlag MGK,,,0,,,,1.84,CHF,900995 10501,,,Zuschlag Materialgemeinkosten MGK,
Zuschlag PGK,,,0,,,,8.64,CHF,900996 10502,,,Zuschlag Produktionsgemeinkosten,
,,,,,,,,,,,,,
Platte  (K),1,ST,9.93,240,48,ST,476.49,CHF,CH10 10172282,,,Eigenfertigung,X
,,,,,,,,,,,,,
Laserzentrum BYSTAR 4020,1,H,104.33,0,0,H,0,CHF,21032101   21032102 MFERT,,Plantarif der Periode,ILV Maschinenstunden Fertigung,
Laserzentrum BYSTAR 4020,1,H,104.33,0,0.48,H,50.08,CHF,21032101   21032102 MFERT,,Plantarif der Periode,ILV Maschinenstunden Fertigung,
Blechtafel  8x1500x4000 S235JRG2,1,M2,107.4,0,3.12,M2,335.09,CHF,CH10 1301007,,Bewertungspreis mit USER-EXIT,Rohmaterial,
Malerei Kleinkomponenten,1,H,86.25,0,0,H,0,CHF,21040101   21040101 MMONT,,Plantarif der Periode,ILV Maschinenstunden Montage,
Malerei Kleinkomponenten,1,H,86.25,0,0.48,H,41.4,CHF,21040101   21040101 MMONT,,Plantarif der Periode,ILV Maschinenstunden Montage,
Malerei Kleinkomponenten,1,H,86.25,0,0,H,0,CHF,21040101   21040101 MMONT,,Plantarif der Periode,ILV Maschinenstunden Montage,
Zuschlag MGK,,,0,,,,26.14,CHF,900995 10501,,,Zuschlag Materialgemeinkosten MGK,
Zuschlag PGK,,,0,,,,23.78,CHF,900996 10502,,,Zuschlag Produktionsgemeinkosten,
,,,,,,,,,,,,,
Abdeckung  (K),1,ST,14.37,20,4,ST,57.47,CHF,CH10 10172283,,,Eigenfertigung,X
,,,,,,,,,,,,,
Laserzentrum BYSPRINTF 3015,1,H,104.33,0,0,H,0,CHF,21032101   21032101 MFERT,,Plantarif der Periode,ILV Maschinenstunden Fertigung,
Laserzentrum BYSPRINTF 3015,1,H,104.33,0,0.056,H,5.84,CHF,21032101   21032101 MFERT,,Plantarif der Periode,ILV Maschinenstunden Fertigung,
"Blechtafel  2,00x1500x3000  DC01",1,M2,27.68,0,1.388,M2,38.42,CHF,CH10 1300090,,Bewertungspreis mit USER-EXIT,Rohmaterial,
Malerei Kleinkomponenten,1,H,86.25,0,0,H,0,CHF,21040101   21040101 MMONT,,Plantarif der Periode,ILV Maschinenstunden Montage,
Malerei Kleinkomponenten,1,H,86.25,0,0.08,H,6.9,CHF,21040101   21040101 MMONT,,Plantarif der Periode,ILV Maschinenstunden Montage,
Malerei Kleinkomponenten,1,H,86.25,0,0,H,0,CHF,21040101   21040101 MMONT,,Plantarif der Periode,ILV Maschinenstunden Montage,
Zuschlag MGK,,,0,,,,3,CHF,900995 10501,,,Zuschlag Materialgemeinkosten MGK,
Zuschlag PGK,,,0,,,,3.31,CHF,900996 10502,,,Zuschlag Produktionsgemeinkosten,
,,,,,,,,,,,,,
Abdeckung  (K),1,ST,15.93,10,2,ST,31.85,CHF,CH10 10172284,,,Eigenfertigung,X
,,,,,,,,,,,,,
Laserzentrum BYSPRINTF 3015,1,H,104.33,0,0,H,0,CHF,21032101   21032101 MFERT,,Plantarif der Periode,ILV Maschinenstunden Fertigung,
Laserzentrum BYSPRINTF 3015,1,H,104.33,0,0.034,H,3.55,CHF,21032101   21032101 MFERT,,Plantarif der Periode,ILV Maschinenstunden Fertigung,
"Blechtafel  2,00x1500x3000  DC01",1,M2,27.68,0,0.772,M2,21.37,CHF,CH10 1300090,,Bewertungspreis mit USER-EXIT,Rohmaterial,
Malerei Kleinkomponenten,1,H,86.25,0,0,H,0,CHF,21040101   21040101 MMONT,,Plantarif der Periode,ILV Maschinenstunden Montage,
Malerei Kleinkomponenten,1,H,86.25,0,0.04,H,3.45,CHF,21040101   21040101 MMONT,,Plantarif der Periode,ILV Maschinenstunden Montage,
Malerei Kleinkomponenten,1,H,86.25,0,0,H,0,CHF,21040101   21040101 MMONT,,Plantarif der Periode,ILV Maschinenstunden Montage,
Zuschlag MGK,,,0,,,,1.67,CHF,900995 10501,,,Zuschlag Materialgemeinkosten MGK,
Zuschlag PGK,,,0,,,,1.82,CHF,900996 10502,,,Zuschlag Produktionsgemeinkosten,
,,,,,,,,,,,,,
Wanne,1,ST,160.35,5,12,ST,1924.15,CHF,CH10 10182936,,,Eigenfertigung,X
,,,,,,,,,,,,,
Malerei Zusatzarbeiten,1,H,76.7,0,0,H,0,CHF,21040104   21040104 PMONT,,Plantarif der Periode,ILV Personalstunden Montage,
Malerei Zusatzarbeiten,1,H,76.7,0,1.2,H,92.04,CHF,21040104   21040104 PMONT,,Plantarif der Periode,ILV Personalstunden Montage,
Unterzug  (K),1,ST,82.71,5,12,ST,992.52,CHF,CH10 10182910,,,Eigenfertigung,X
,,,,,,,,,,,,,
Schweissroboter,1,H,98.91,0,0.6,H,59.35,CHF,21031301   21031301 MFERT,,Plantarif der Periode,ILV Maschinenstunden Fertigung,
Schweissroboter,1,H,98.91,0,1.32,H,130.56,CHF,21031301   21031301 MFERT,,Plantarif der Periode,ILV Maschinenstunden Fertigung,
Blech,1,ST,40.59,5,12,ST,487.13,CHF,CH10 10182908,,,Eigenfertigung,X
,,,,,,,,,,,,,
,1,H,104.33,0,0,H,0,CHF,21032101   21032101 MFERT,,Plantarif der Periode,ILV Maschinenstunden Fertigung,
,1,H,104.33,0,0.24,H,25.03,CHF,21032101   21032101 MFERT,,Plantarif der Periode,ILV Maschinenstunden Fertigung,
,1,M2,26.85,0,9.42,M2,252.94,CHF,CH10 1300088,,Bewertungspreis mit USER-EXIT,Rohmaterial,
,1,H,71.16,0,0.6,H,42.7,CHF,21032201   21032201 MFERT,,Plantarif der Periode,ILV Maschinenstunden Fertigung,
,1,H,71.16,0,1.44,H,102.48,CHF,21032201   21032201 MFERT,,Plantarif der Periode,ILV Maschinenstunden Fertigung,
,,,0,,,,19.73,CHF,900995 10501,,,Zuschlag Materialgemeinkosten MGK,
,,,0,,,,44.26,CHF,900996 10502,,,Zuschlag Produktionsgemeinkosten,
,,,,,,,,,,,,,
Winkel,1,ST,7.83,24,24,ST,187.86,CHF,CH10 10182909,,,Eigenfertigung,X
,,,,,,,,,,,,,
,1,H,104.33,0,0,H,0,CHF,21032101   21032101 MFERT,,Plantarif der Periode,ILV Maschinenstunden Fertigung,
,1,H,104.33,0,0.288,H,30.05,CHF,21032101   21032101 MFERT,,Plantarif der Periode,ILV Maschinenstunden Fertigung,
,1,M2,52.38,0,1.656,M2,86.74,CHF,CH10 1300152,,Bewertungspreis mit USER-EXIT,Rohmaterial,
,1,H,71.16,0,0.15,H,10.67,CHF,21032201   21032201 MFERT,,Plantarif der Periode,ILV Maschinenstunden Fertigung,
,1,H,71.16,0,0.48,H,34.16,CHF,21032201   21032201 MFERT,,Plantarif der Periode,ILV Maschinenstunden Fertigung,
,,,0,,,,6.77,CHF,900995 10501,,,Zuschlag Materialgemeinkosten MGK,
,,,0,,,,19.47,CHF,900996 10502,,,Zuschlag Produktionsgemeinkosten,
,,,,,,,,,,,,,
Malerei Kleinkomponenten,1,H,86.25,0,0,H,0,CHF,21040101   21040101 MMONT,,Plantarif der Periode,ILV Maschinenstunden Montage,
Malerei Kleinkomponenten,1,H,86.25,0,0.72,H,62.11,CHF,21040101   21040101 MMONT,,Plantarif der Periode,ILV Maschinenstunden Montage,
Malerei Kleinkomponenten,1,H,86.25,0,0,H,0,CHF,21040101   21040101 MMONT,,Plantarif der Periode,ILV Maschinenstunden Montage,
Zuschlag PGK,,,0,,,,65.52,CHF,900996 10502,,,Zuschlag Produktionsgemeinkosten,
,,,,,,,,,,,,,
Schutzblech  (K),1,ST,38.78,5,12,ST,465.38,CHF,CH10 10182934,,,Eigenfertigung,X
,,,,,,,,,,,,,
Laserzentrum BYSPRINTF 3015,1,H,104.33,0,0,H,0,CHF,21032101   21032101 MFERT,,Plantarif der Periode,ILV Maschinenstunden Fertigung,
